Type,Title,Dubbed From,Ownership,Language,Country,Date Added,Live Status,Primary Genre,Secondary Genre,Final Genre,Theatrical Release Year,Age Rating,Age score,Run Time,RUN TIME,IMDB Rating,Cast,Synopsis,Keywords2,Keywords3,Keywords4,Keywords5,Age Rating Numeric
Movies,Bibaho Obhijaan,,Acquired,Bengali,India,12-10-2019,Yes,Comedy,,Comedy,2019,U/A 16+,4,117.8,117.8,,"Ankush Hazra, Nusrat Faria, Rudranil Ghosh, Sohini Sarkar, Anirban Bhattacharya, Priyanka Sarkar","Watch Bibaho Obhijaan Bengali movie online on hoichoi. Rajat and Anupam, frustrated with their wives, flee from them but get entrapped in hilarious situations. Watch the pot boiling comedy ""Bibaho Obhijaan"".",watch bibaho obhijaan bengali movie online hoichoi rajat anupam frustrated their wives flee them but get entrapped hilarious situations watch pot boiling comedy bibaho obhijaan,watch bibaho obhijaan bengali movie,"watch,bibaho,obhijaan,bengali,movie,online,hoichoi,rajat,anupam,frustrated,their,wives,flee,them,but,get,entrapped,hilarious,situations,watch,pot,boiling,comedy,bibaho,obhijaan","watch,bibaho,obhijaan,bengali,movie,online,hoichoi,rajat,anupam,frustrated,their,wives,flee,them,but,get,entrapped,hilarious,situations,watch,pot,boiling,comedy,bibaho,obhijaan",16
Movies,Durgeshgorer Guptodhon,,Acquired,Bengali,India,01-09-2019,Yes,Adventure,Mystery,Adventure Mystery,2019,U/A 7+,2,130.4,130.4,6.7,"Abir Chatterjee, Arjun Chakrabarty, Ishaa Saha, Koushik Sen, Kharaj Mukherjee, Anindya Chatterjee, Lily Chakraborty, Arindam Sil","Watch Durgeshgorer Guptodhon Bengali movie online on hoichoi. Sona Da, along with Abir and Jhinuk, visits his student's ancestral mansion in Durgeshgor. Once there, the trio comes across a vital clue that could lead them to one of the greatest treasures.",watch durgeshgorer guptodhon bengali movie online hoichoi sona da along abir jhinuk visits his students ancestral mansion durgeshgor once there trio comes across vital clue could lead them one greatest treasures,watch durgeshgorer guptodhon bengali movie,"watch,durgeshgorer,guptodhon,bengali,movie,online,hoichoi,sona,da,along,abir,jhinuk,visits,his,students,ancestral,mansion,durgeshgor,once,there,trio,comes,across,vital,clue,could,lead,them,one,greatest,treasures","watch,durgeshgorer,guptodhon,bengali,movie,online,hoichoi,sona,da,along,abir,jhinuk,visits,students,ancestral,mansion,durgeshgor,once,trio,comes,across,vital,clue,lead,them,one,greatest,treasures",7
Movies,Ke Tumi Nandini,,Acquired,Bengali,India,27-08-2019,Yes,Romantic,Drama,Romantic Drama,2019,U/A 7+,2,135,135,5.7,"Bonny Sengupta, Rupsha Mukherjee, Saayoni Ghosh, Shankar Chakraborty, Saurav Das, Aparajita Auddy, Rudranil Ghosh, Gaurab Chatterjee, Sayantani Guhathakurta","Watch Ke Tumi Nandini Bengali movie online on hoichoi. Nandini, an aspiring medical student fall for Abir and tries to impress him. Will Abir reciprocate her feelings ?",watch ke tumi nandini bengali movie online hoichoi nandini aspiring medical student fall abir tries impress him will abir reciprocate her feelings,watch ke tumi nandini bengali,"watch,ke,tumi,nandini,bengali,movie,online,hoichoi,nandini,aspiring,medical,student,fall,abir,tries,impress,him,will,abir,reciprocate,her,feelings","watch,ke,tumi,nandini,bengali,movie,online,hoichoi,nandini,aspiring,medical,student,fall,abir,tries,impress,him,abir,reciprocate,feelings",7
Movies,Sweater,,Acquired,Bengali,India,22-08-2019,Yes,Drama,,Drama,2019,U/A 13+,3,114.8,114.8,,"Ishaa Saha, June Maliah, Sreelekha Mitra, Kharaj Mukherjee, Saurav Das, Anuradha Mukherjee, Farhan Imroze, Sidhu Ray","After several rejections, Tuku finally finds a match but with a catch. This alliance can go through only if Tuku can become an expert at knitting within a month. While learning the same, she befriends Shamyo. What course will Tuku's life take now?",after several rejections tuku finally finds match but catch alliance can go through only if tuku can become expert knitting within month while learning same she befriends shamyo what course will tukus life take now,after several rejections tuku finally,"after,several,rejections,tuku,finally,finds,match,but,catch,alliance,can,go,through,only,if,tuku,can,become,expert,knitting,within,month,while,learning,same,she,befriends,shamyo,what,course,will,tukus,life,take,now","after,several,rejections,tuku,finally,finds,match,but,catch,alliance,go,through,only,if,tuku,become,expert,knitting,within,month,while,learning,same,she,befriends,shamyo,what,course,tukus,life,take,now",13
Movies,Aami Ashbo Phirey,,Acquired,Bengali,India,18-07-2019,Yes,Drama,Musical,Drama Musical,2018,A 18+,5,120.2,120.2,,"Anjan Dutt, Swastika Mukherjee, Koushik Sen, Sauraseni Maitra, Anindya Chatterjee, Darshana Banik, Anjana Basu, Sumanta Mukherjee, Sudeshna Roy","Watch Aami Ashbo Phirey Bengali movie online on hoichoi. A songwriter virtually enters the life of four people who have been connected by an accident, leading their lives towards a better tomorrow. Watch the enigmatic film by Anjan Dutta ""Ami Asbo Phirey"".",watch aami ashbo phirey bengali movie online hoichoi songwriter virtually enters life four people who have been connected accident leading their lives towards better tomorrow watch enigmatic film anjan dutta ami asbo phirey,watch aami ashbo phirey bengali,"watch,aami,ashbo,phirey,bengali,movie,online,hoichoi,songwriter,virtually,enters,life,four,people,who,have,been,connected,accident,leading,their,lives,towards,better,tomorrow,watch,enigmatic,film,anjan,dutta,ami,asbo,phirey","watch,aami,ashbo,phirey,bengali,movie,online,hoichoi,songwriter,virtually,enters,life,four,people,who,been,connected,accident,leading,their,lives,towards,better,tomorrow,watch,enigmatic,film,anjan,dutta,ami,asbo,phirey",18
Movies,Guptodhoner Sandhane,,Acquired,Bengali,India,12-07-2019,Yes,Adventure,Mystery,Adventure Mystery,2018,U,1,131,131,6.8,"Abir Chatterjee, Arjun Chakrabarty, Ishaa Saha, Arindam Sil, Kamaleswar Mukherjee, Goutam Ghose, Rajatava Dutta",Watch Guptodhoner Sandhane Bengali movie online on hoichoi. Guptodhoner Sandhane explores the quest of Subarna Sen after he returns to India and sets out to find the treasure hidden by his maternal uncle.,watch guptodhoner sandhane bengali movie online hoichoi guptodhoner sandhane explores quest subarna sen after he returns india sets out find treasure hidden his maternal uncle,watch guptodhoner sandhane bengali movie,"watch,guptodhoner,sandhane,bengali,movie,online,hoichoi,guptodhoner,sandhane,explores,quest,subarna,sen,after,he,returns,india,sets,out,find,treasure,hidden,his,maternal,uncle","watch,guptodhoner,sandhane,bengali,movie,online,hoichoi,guptodhoner,sandhane,explores,quest,subarna,sen,after,he,returns,india,sets,out,find,treasure,hidden,maternal,uncle",0
Movies,Bhoot Chaturdashi,,Acquired,Bengali,India,07-07-2019,Yes,Horror,Drama,Horror Drama,2019,U/A 16+,4,98.3,98.3,3.4,"Aryann Bhowmik, Ena Saha, Soumendra Bhattacharya, Deepsheta Mitra","Watch Bhoot Chaturdashi Bengali movie online on hoichoi. As four friends go on a road trip to a haunted house, they fall under horrific circumstances on the day of ""Bhoot Chaturdashi"".",watch bhoot chaturdashi bengali movie online hoichoi four friends go road trip haunted house they fall under horrific circumstances day bhoot chaturdashi,watch bhoot chaturdashi bengali movie,"watch,bhoot,chaturdashi,bengali,movie,online,hoichoi,four,friends,go,road,trip,haunted,house,they,fall,under,horrific,circumstances,day,bhoot,chaturdashi","watch,bhoot,chaturdashi,bengali,movie,online,hoichoi,four,friends,go,road,trip,haunted,house,they,fall,under,horrific,circumstances,day,bhoot,chaturdashi",16
Movies,Iti Srikanto,,Acquired,Bengali,India,29-06-2019,Yes,Drama,,Drama,2004,U/A 16+,4,121.4,121.4,7.1,"Soha Ali Khan, Adil Hussain, Reema Sen, Pijush Ganguly, Aparajita Ghosh Das","Watch Iti Srikanto Bengali movie online on hoichoi. Inspired by the novel Srikanta, ""Iti Srikanto"" is the story of a man torn between two women: a courtesan and a Vaishnavite.",watch iti srikanto bengali movie online hoichoi inspired novel srikanta iti srikanto story man torn between two women courtesan vaishnavite,watch iti srikanto bengali movie,"watch,iti,srikanto,bengali,movie,online,hoichoi,inspired,novel,srikanta,iti,srikanto,story,man,torn,between,two,women,courtesan,vaishnavite","watch,iti,srikanto,bengali,movie,online,hoichoi,inspired,novel,srikanta,iti,srikanto,story,man,torn,between,two,women,courtesan,vaishnavite",16
Movies,Kharij,,Acquired,Bengali,India,29-06-2019,Yes,Drama,,Drama,1982,U/A 7+,2,90.6,90.6,,"Anjan Dutt, Mamata Shankar, Sreela Majumdar, Indranil Moitra, Dehapratim Das Gupta, Nilotpal Dey, Charuprakash Ghosh, Debatosh Ghosh, Gita Sen, Sunil Mukherjee","Watch Kharij Bengali movie online on hoichoi. Based on a novel by Ramapada Choudhury, directed by Mrinal Sen ""Kharij"" tells the tale of a young servant boy who is found dead due to medical negligence by his employers.",watch kharij bengali movie online hoichoi based novel ramapada choudhury directed mrinal sen kharij tells tale young servant boy who found dead due medical negligence his employers,watch kharij bengali movie online,"watch,kharij,bengali,movie,online,hoichoi,based,novel,ramapada,choudhury,directed,mrinal,sen,kharij,tells,tale,young,servant,boy,who,found,dead,due,medical,negligence,his,employers","watch,kharij,bengali,movie,online,hoichoi,based,novel,ramapada,choudhury,directed,mrinal,sen,kharij,tells,tale,young,servant,boy,who,found,dead,due,medical,negligence,employers",7
Movies,Vinci Da,,Acquired,Bengali,India,05-06-2019,Yes,Thriller,,Thriller,2019,A 18+,5,113.7,113.7,7.3,"Ritwick Chakraborty, Rudranil Ghosh, Anirban Bhattacharya, Sohini Sarkar",Watch Vinci Da Bengali movie online on hoichoi. Vinci Da revolves around a makeup artist's life turning upside down when a lawyer uses his art as a tool of crime. Watch one of the finest thrillers directed by "Srijit Mukherji".,watch vinci da bengali movie online hoichoi vinci da revolves around makeup artists life turning upside down when lawyer uses his art tool crime watch one finest thrillers directed srijit mukherji,watch vinci da bengali movie,"watch,vinci,da,bengali,movie,online,hoichoi,vinci,da,revolves,around,makeup,artists,life,turning,upside,down,when,lawyer,uses,his,art,tool,crime,watch,one,finest,thrillers,directed,srijit,mukherji","watch,vinci,da,bengali,movie,online,hoichoi,vinci,da,revolves,around,makeup,artists,life,turning,upside,down,lawyer,uses,art,tool,crime,watch,one,finest,thrillers,directed,srijit,mukherji",18
